Object Name,Type,Velocity(km/s),Redshift,Magnitude
NGC 0151,G,3732,0.01245,12.8
NGC 0253,G,242,0.000807,7.09
NGC 0262,G,4507,0.015034,13.2
Sculptor Dwarf Elliptical,G,110,0.000367,8.6
NGC 0613,G,1475,0.00492,10.7
NGC 0625,G,396,0.001321,11.5
NGC 0660,G,848,0.002829,12.0
NGC 0691,G,2666,0.008893,11.6
NGC 0772,G,2472,0.008246,10.0
NGC 0895,G,2288,0.007632,11.8
IC 0239,G,903,0.003012,11.8
NGC 1032,G,2743,0.00915,12.1
NGC 1042,G,1371,0.004573,11.5
NGC 1058,G,520,0.001735,11.2
NGC 1084,G,1411,0.004707,11.6
NGC 1087,G,1523,0.00508,12.2
NGC 1275,G,5264,0.017559,11.8
NGC 1316,G,1802,0.00601,9.4
NGC 1339,G,1392,0.004643,12.5
NGC 1351,G,1514,0.00505,12.5
NGC 1371,G,1463,0.00488,11.2
NGC 1374,G,1294,0.004316,12.0
NGC 1379,G,1324,0.004416,11.8
NGC 1380,G,1877,0.006261,10.9
NGC 1381,G,1724,0.005751,12.4
NGC 1399,G,1425,0.004753,10.6
NGC 1404,G,1947,0.006494,11.0
NGC 1427,G,1388,0.00463,11.8
IC 2006,G,1382,0.00461,12.2
3C 120,G,9896,0.03301,14.1
NGC 1637,G,717,0.002392,11.2
NGC 1744,G,741,0.002472,11.9
NGC 1832,G,1939,0.006468,10.6
NGC 1961,G,3934,0.013122,10.9
NGC 2110,G,2293,0.007647,13.4
ESO 121- G 006,G,1211,0.004039,13.4
NGC 2207,G,2751,0.009176,11.3
Carina dSph,G,223,0.000744,11.3
NGC 2280,G,1895,0.006321,9.97
NGC 2403,G,133,0.000445,8.11
NGC 2484,G,12239,0.040825,14.1
NGC 2549,G,1051,0.003506,12.1
NGC 2639,G,3336,0.011128,12.4
NGC 2713,G,3894,0.012989,12.7
NGC 2742,G,1292,0.00431,11.3
NGC 2770,G,1947,0.006494,12.8
NGC 2811,G,2368,0.007899,11.5
NGC 2832,G,6897,0.023006,12.9
NGC 2841,G,635,0.002118,9.53
NGC 2915,G,468,0.001561,13.2
NGC 2950,G,1322,0.00441,11.7
NGC 2965,G,6696,0.022336,14.0
NGC 3054,G,2426,0.008091,11.6
NGC 3079,G,1106,0.003689,9.97
Sextans dSph,G,224,0.000748,10.4
NGC 3166,G,1183,0.003946,11.3
NGC 3169,G,1232,0.00411,10.8
NGC 3190:[LMD2020] B,G,1310,0.00437,11.3
NGC 3184,G,582,0.001941,10.3
NGC 3198,G,660,0.002202,10.8
NGC 3245,G,1326,0.004423,11.9
NGC 3254,G,1355,0.00452,12.9
NGC 3294,G,1561,0.005206,12.2
NGC 3338,G,1300,0.004336,12.8
NGC 3346,G,1274,0.00425,13.4
MESSIER 095,G,779,0.002598,11.4
NGC 3367,G,3038,0.010134,12.7
NGC 3412,G,841,0.002805,11.7
NGC 3432,G,616,0.002055,10.5
WISEA J105249.09+405619.4,G,1,4e-06,14.1
NGC 3504,G,1525,0.005087,11.4
MRK 0421,G,9000,0.030021,12.8
NGC 3593,G,622,0.002075,12.6
NGC 3610,G,1707,0.005694,11.7
