Results from query to  NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:37:35PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,UGC 12889,0.00696,47.27479,G,5017,0.016735,SUN,13.4,0,37,1,36,13,9,7,0
2,KUG 2357+156,0.00905,15.88188,G,6001,0.020017,S1L,15.4g,0,41,0,64,17,15,6,0
3,MCG -03-01-012,0.01327,-18.00823,G,8954,0.029867,SUN,15.15,0,5,0,34,5,1,1,0
4,WISEA J000012.20+020550.2,0.05067,2.09742,G,10675,0.035608,PUN,15.2E,0,8,0,40,8,2,2,0
5,CGCG 382-016,0.05328,1.12021,G,7397,0.024673,SUN,14.8g,0,38,0,82,17,14,11,0
6,CGCG 498-057,0.05542,33.13417,G,5052,0.016852,SUN,15.4,0,8,0,17,7,2,0,0
7,2MFGC 00003,0.05975,70.033,G,4645,0.015494,S1L,11.9K,0,15,0,37,8,5,2,0
8,ESO 012- G 012,0.09212,-80.79286,G,7907,0.026376,S1L,13.91,0,18,2,43,8,4,15,0
9,2MFGC 00004,0.09954,-30.66886,G,9518,0.031749,SLS,15.6r,0,9,0,38,8,5,2,0
10,NGC 7807,0.11075,-18.84189,G,7655,0.025534,SLS,15.06,0,12,2,42,9,3,14,0
11,CGCG 498-059,0.12083,32.78222,GPair,9558,0.031882,SUN,15.1,0,18,0,18,7,1,0,0
12,UGC 12896,0.13083,26.32539,G,7653,0.025528,UUN,14.4V,0,42,1,43,14,15,5,0
13,KUG 2358+330,0.24227,33.3439,G,12921,0.0431,SUN,15.9B,0,26,1,36,12,4,2,0
14,IC 5374,0.26883,4.50019,G,8932,0.029794,SUN,15.19,0,22,0,39,13,7,6,0
15,UGC 12903,0.28446,6.33717,G,14747,0.049191,S1L,15.56,0,25,1,39,8,4,7,0
16,KUG 2358+128A,0.30575,13.14406,G,5461,0.018216,SUN,15.87,0,44,0,60,14,7,6,0
17,UGC 12904,0.30917,34.67575,G,12726,0.042449,SUN,15.08,0,25,1,33,12,5,7,0
18,MCG +02-01-010,0.31238,13.11256,G,5590,0.018646,SUN,16.97,0,41,0,50,10,5,3,0
19,ESO 149- G 012,0.32275,-53.00967,G,9724,0.032436,SLS,15.99,0,18,1,38,10,5,16,0
20,IC 5376,0.33237,34.52572,G,5028,0.016772,S1L,14.59,0,69,0,42,20,15,7,0
21,NGC 7803,0.33321,13.11125,G,5326,0.017766,S1L,14.06,0,117,1,81,26,22,6,2
